index,Country,Human Development Index (HDI),Life expectancy at birth,Expected years of schooling,Mean years of schooling,Gross national income (GNI) per capita,HDI rank,Gender Development Index,GDI Group,HDI Female,HDI Male,Life expectancy at birth Female,Life expectancy at birth Male,Expected years of schooling Female,Expected years of schooling Male,Mean years of schooling Female,Mean years of schooling Male,Estimated  gross national income per capita,GNI Male,Youth literacy rate Female,Youth literacy rate Male,Population with at least some secondary education,Pre-primary,Primary,Secondary,Tertiary,Primary school dropout rate,Lower secondary retention,Government expenditure on education,Exports and imports,Stock of immigrants,International student mobility,International inbound tourists,Share of internet users,Share of female internet users,Lost health expectancy,"Physicians per 10,000 people","Hospital beds per 10,000 people","Pupil–teacher ratio, primary school",Primary schools with access to the Internet,Secondary schools with access to the Internet,PISA Reading,PISA Math,PISA Science,Share of vulnerable employment,Share of rural population with access to electricity,Share of population with safe drinking water,Share of population with sanitation services,Male to female births,Gender enrolment ratio pre-primary,Gender enrolment ratio primary,Gender enrolment ratio secondary,Youth unemployment rate gender ratio,At least some secondary education gender ratio,Total unemployment rate gender ratio,Share of female employment in nonagriculture,Share of seats held by women in parliament,Share of seats held by women in local government,Share of hour women spent on unpaid domestic chores and care work,Time spent on unpaid domestic chores and care work gender ratio,Old-age pension recipients gender ratio,Share of women married by age 18,Share of female in STEM tertiary education programs,Share of female STEM tertiary education graduates,Female share of employment in senior and middle management,Women with account at financial institution or with mobile money-service provider,Days of mandatory paid maternity leave,Share of violence against women ever experienced by intimate partner,Share of violence against women ever experienced by nonintimate partner,Share of skilled labour force,Ratio of education and health expenditure to military expenditure,Gender Inequality Index,GII Rank,Maternal mortality ratio,Adolescent birth rate,Share of seats in parliament held by women,Share at least some secondary education Female,Share at least some secondary education Male,Labour force participation rate Female,Labour force participation rate Male
9680834,Norway,0.957,82.4,18.06615,12.89775,66494.25217,1,0.9899386579617451,1,0.9489563520145097,0.9586011662261813,84.377,80.447,18.75945,17.41359,12.977,12.81661,58548.43907513327,74279.89501600877,..,..,94.92075574,95.36525,100.26021,116.87442,81.99235,0.8978,98.7565,7.9761,72.1465,16.13288846,-3.07912,5688,96.4917,97,14.555448508578761,29.164,35.3,8.59418,100,100,499.4509563,500.9637885,490.4131494,4.906,100.0,98,76,1.06,1.00352986689655,0.9991821553332586,0.9567176164004263,0.982683522787634,1.005616950597548,0.9438463776549317,47.53995,40.82840237,40.84,15.30833,1.2412162814098058,0.866,..,10.88373,28.46429,32.75,100,..,27,..,84.2811,11.44775,0.045,6,2,5.141,40.82840237,95.3928,94.8599762,60.37,67.192
9680835,Ireland,0.955,82.31,18.70529,12.6663305,68370.58737,3,0.9810242976135434,1,0.9430427884882875,0.9612838242460963,83.909,80.667,18.79073,18.62423,12.89739912,12.42200863,55540.14540196465,81400.50775398177,..,..,81.11964622,163.43983,100.85278,125.30712,77.78062,..,99.41767,3.71973,239.2151,17.07250084,2.23969,10926,84.5223,85.7,14.224411117098201,33.125,29.7,16.06046,..,..,518.0784592,499.632894,496.1135617,10.61,100.0,97,82,1.06,0.9882025259905524,0.9969314156446714,0.9842584850436008,0.6854649648345923,1.0247705987460376,0.9088080886642039,47.50652,24.31192661,23.92,..,..,0.6115427302996671,..,14.10374,29.00194,31.26,95.30703735,182,15,5,85.047,33.49423,0.093,23,5,7.515,24.31192661,81.92398,79.94372604,55.973,68.365
9680836,Switzerland,0.955,83.78,16.32844,13.38081241,69393.52076,2,0.9675128179073542,2,0.9338774340881767,0.9652352059873192,85.596,81.874,16.23563,16.41916,12.6696,13.5584,57840.35006751253,81136.60858556404,..,..,96.14852,103.58897,105.19068,102.48743,59.56299,0.41219,99.09377,5.11332,119.4385,29.93737316,12.98459,10362,89.6861,88.5231,14.237776269945801,42.957,46.3,9.92873,100,100,483.9294052,515.3147131,495.2762879,8.941,100.0,95,100,1.05,0.9909662385113712,0.9932415927581848,0.9568741135119289,0.6380422691879866,0.9876935921165734,1.0794657007018338,46.87681,38.61788618,31.3,16.83333,1.5580400900763318,1.0384215991692627,..,11.43076,22.31547,32.46,98.85665131,98,..,..,87.3141,25.40546,0.025,1,5,2.763,38.61788618,95.56618,96.75691,62.904,73.754
9680837,"Hong Kong, China (SAR)",0.949,84.86,16.92947,12.27996,62984.76553,4,0.9723231390489695,2,0.9328290182028115,0.9593816918881646,87.747,81.971,17.14543,16.75865,11.90943,12.74265,45960.59933658365,82992.88075474797,..,..,79.40018,106.40481,108.61767,107.48979,76.92223,1.30122,98.97154,3.32259,352.8222,39.56687825,-0.69727,29263,89.4159,88.0177,..,..,..,13.34788,99.2,95.2,524.2831172,551.1542742,516.6861296,5.717,100.0,..,..,1.08,1.0528315828820716,1.0447807277999692,0.9699301342984431,0.8256522134351423,0.9297635026671862,0.7898246480612496,49.65344,..,..,10.83333,3.25000225000225,..,..,..,..,..,94.7024231,70,..,..,76.98,..,..,..,..,2.705,..,77.0914338,82.9151,53.984,67.507
9680838,Iceland,0.949,82.99,19.08309,12.77278684,54682.38057,4,0.9686740369265662,2,0.9331675072234334,0.9633452241418705,84.485,81.502,20.16457,18.03625,12.56192757,12.9836233,46413.01058689646,62882.62458537777,..,..,100,94.08853,100.35144,117.51671,71.84501,2.08263,98.73572,7.45988,85.91668,15.45699361,-7.83102,2343.8,99.011,99.413,13.987429635020565,40.778,28.3,10.14405,..,..,473.9743169,495.1873762,475.0241063,8.108,100.0,100,82,1.05,1.0311578764284717,0.9999482830572904,0.9897188509801063,0.8003233629749392,1,0.995435393258427,48.54518,38.0952381,47.01,..,..,1.1248073959938365,..,10.25173,35.23035,44.01,..,90,22.4,..,76.1659,..,0.058,9,4,6.269,38.0952381,100,100,70.846,79.225
9680839,Germany,0.947,81.33,16.97719,14.15168,55314.35355,4,0.9718804772078216,2,0.9327163495784005,0.9597027324368752,83.728,78.944,16.91137,17.03992,13.88232,14.43136,45277.165277536296,65599.45133535868,..,..,96.08825,109.1274,104.02236,98.40928,70.24665,3.51825,..,4.80093,88.09866,15.72391121,4.42081,38881,89.7391,84.1628,14.134628306713825,42.488,80,12.30285,..,..,498.2792569,500.0437805,502.9889033,5.62,100.0,100,97,1.05,0.9904709488534984,1.002567930219752,0.9392192989550805,0.7970189248032156,0.9951313850222351,0.8058629973078073,46.67691,31.61953728,27.52,15.9,1.59,1,..,19.16309,27.55567,28.59,99.19924927,98,22,7,87.3212,13.38897,0.084,20,7,8.095,31.61953728,95.85821,96.32719,55.275,66.565
9680840,Sweden,0.945,82.8,19.48234,12.54847,54507.80504,7,0.9826442554677156,1,0.9364274045697064,0.9529668538325591,84.56,81.029,20.41199,18.58575,12.69396,12.39988,47708.533866443126,61287.048819561256,..,..,89.30195,96.32934,126.57538,152.86068,66.98824,0.44376,99.35619,7.66993,90.4859,19.97941688,2.85444,7440,92.1417,93.6805,13.812523669883392,39.84,21.4,12.23325,..,..,505.7852205,502.3877022,499.4446901,6.063,100.0,100,93,1.06,0.9949635305138494,1.0134800539924222,1.0660916418682524,0.8454908883235555,0.9971245987452407,0.9269746646795827,48.24959,47.27793696,43.84,16.04201,1.2505493854444625,1,..,15.67903,35.47829,41.85,100,..,28,12,87.1154,17.58883,0.039,3,4,5.076,47.27793696,89.28605,89.54352356,61.384,67.766
9680841,Australia,0.944,83.44,21.95433,12.72469119,48084.84207,7,0.9762035605125557,1,0.9318109561617719,0.9545252587201428,85.403,81.492,22.43083,21.48273,12.79604116,12.65123522,39286.57417328427,56953.61353311733,..,..,90.98537,164.55399,100.33898,150.31148,113.14216,..,..,5.27163,45.68621,29.95361938,20.71761,9246,86.545,86.1214,15.186592894658602,36.778,38.4,..,100,100,502.6317243,491.3600252,502.9645628,10.634,100.0,..,76,1.06,0.9609258025909253,0.9999020367584391,0.8877836038718873,0.8529434397845326,1.0008857048231163,1.021668264621285,46.94679,36.56387665,33.92,..,..,1.05635838150289,..,10.234,32.07578,..,99.19509125,..,22.8,10,78.94,6.912926,0.097,25,6,11.715,36.56387665,91.02507,90.94452,60.3,70.855
9680842,Netherlands,0.944,82.28,18.48513,12.4148,57707.06867,9,0.965586666219649,2,0.9264806845968288,0.9595002882797425,83.952,80.592,18.79391,18.18601,12.16944,12.66969,46815.15237759871,68685.268775261,..,..,88.921,94.288,104.22962,135.57512,84.98045,..,..,5.4796,154.3223,13.3518959,8.89263,18780,94.7121,94.5693,13.605472859789213,36.054,31.7,11.80592,100,100,484.7837251,519.2309824,503.3838194,12.653,100.0,100,97,1.05,1.0018565245868227,0.9998600301179882,1.0136249221962836,0.8800888230940045,0.9696087881447114,1.1008513425016373,46.52989,33.77777778,31.79,14.72222,1.593984913562095,1.0030364372469636,..,8.68194,29.29293,26.01,99.83270264,112,25,12,78.5842,13.56122,0.043,4,5,3.788,33.77777778,87.57493,90.31986,58.263,69.083
9680843,Denmark,0.94,80.9,18.89342,12.61380326,58661.87084,10,0.9825656024202176,1,0.9310091587903512,0.9475287517669307,82.865,78.946,19.55325,18.25409,12.83248399,12.39449532,49296.29514256886,68133.62253042427,..,..,90.94939381,95.91547,101.26809,129.07748,80.61602,0.22989,99.70299,7.63485,105.0017,12.52414293,9.05599,12749,97.6443,97.4618,13.81837636081239,40.099,26,10.73738,100,100,501.1299337,509.3983746,492.6370334,4.895,100.0,97,95,1.06,0.9888300451989084,0.9935870453314958,1.010911859917461,0.8948435689455387,1.0029498096636111,1.114831508907491,47.83098,39.10614525,33.33,15.625,1.3888888888888888,1.0224948875255624,..,12.74708,34.24926,26.63,100,126,32,11,79.6615,15.49393,0.038,2,4,4.123,39.10614525,91.15192,90.88383,58.248,66.285
