,Country,Gender Inequality Index,IDCNTRY,IDSCHOOL,IDCLASS,IDSTUD,sex of student,how often student speak the language of the test at home,amount of books at home,computer or tablet at home,study desk at home,own room at home,internet connection at home,how often student is tired,how often student is hungry,how often student works on his/her own in math,how often conduct experiments in science,economic disadvantage,immediate area of school location,instructional days per year,total instructional time minutes,instructional days in 1 calender week,total number computers,existing science laboratory,books with different titles,access to digital learning resources,math,science,math_interest,math_perception,math_teacher,science_interest,science_perception,science_teacher,belong,bully,shortage,primary_compedency,school_problem,teacher_support,parents_support,student_motivation,grade_4,grade_8,Human Development Index (HDI),Life expectancy at birth,Expected years of schooling,Mean years of schooling,Gross national income (GNI) per capita,HDI rank,Gender Development Index,GDI Group,HDI Female,HDI Male,Life expectancy at birth Female,Life expectancy at birth Male,Expected years of schooling Female,Expected years of schooling Male,Mean years of schooling Female,Mean years of schooling Male,Estimated  gross national income per capita,GNI Male,Maternal mortality ratio,Adolescent birth rate,Share of seats in parliament held by women,Share at least some secondary education Female,Share at least some secondary education Male,Labour force participation rate Female,Labour force participation rate Male,Youth literacy rate Female,Youth literacy rate Male,Population with at least some secondary education,Pre-primary,Primary,Secondary,Tertiary,Primary school dropout rate,Lower secondary retention,Government expenditure on education,Exports and imports,Stock of immigrants,International student mobility,International inbound tourists,Share of internet users,Share of female internet users,Lost health expectancy,"Physicians per 10,000 people","Hospital beds per 10,000 people","Pupil–teacher ratio, primary school",Primary schools with access to the Internet,Secondary schools with access to the Internet,PISA Reading,PISA Math,PISA Science,Share of vulnerable employment,Share of rural population with access to electricity,Share of population with safe drinking water,Share of population with sanitation services
25934,Lithuania,0.124,440.0,5144.0,514402.0,51440211.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,2.0,2.0,3.0,175.0,225.0,3.0,6.0,2.0,1.0,1.0,629.2851400000002,593.79908,-2.033169654054984,-2.7110395522918727,0.6908829678157996,-0.9275437968828376,-0.610606446432135,0.498908014580429,-0.9638693062731012,-1.1800742270722362,0.7561250483204677,-1.618533607368552,1.5196317901065388,-0.7292534525268459,1.043203427829602,0.963157702651944,yes,yes,0.882,75.93,16.63731,13.07721,35798.67041,35.0,1.0299156308783952,2.0,0.8941914162315672,0.868218123332033,81.37100000000002,70.294,17.07771,16.21226,13.10024,13.048,30987.276419135385,41389.08703570246,8.0,10.854,21.27659574,94.29903,97.43829842,56.538,67.74,99.86662,99.84547,95.88641947,88.18839,103.87475,108.40176,72.41745999999998,1.5566,90.75076999999999,4.00847,150.5807,4.247603028,-3.64603,2825.0,79.7226,79.8985,12.688551504697287,63.528,64.3,13.517029999999998,No Information,No Information,475.8734797,481.1911884,482.0670127,9.152,100.0,92.0,91.0
38231,Singapore,0.065,702.0,5111.0,511105.0,51110510.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,2.0,2.0,1.0,185.0,290.0,3.0,412.0,1.0,2.0,1.0,636.51215,611.38027,-2.3835660993161785,-2.097329263556104,-0.7291293247616428,0.2114444672281951,2.898744547703941,-0.4276514455374954,-0.3551631642669463,-1.7402330024730128,-3.461776108627045,-3.884698338087424,-2.2570569778172302,0.0181006465050284,-1.2230738665078904,0.1613109819493966,yes,yes,0.938,83.62,16.44088,11.62461,88155.21431,12.0,0.98523725750483,1.0,0.9308035314585692,0.9447506419071916,85.728,81.52600000000002,16.65767,16.28347,11.17682,12.1125,71387.27614451066,103421.3856924149,8.0,3.53,23.0,78.09105,85.05447,61.97,78.298,99.94237,99.91742,81.42356,No Information,100.62695,107.5746,84.79290999999998,0.85961,98.98744,2.85435,319.1484,37.13866028,10.5088,14673.0,88.1656,87.5644,12.22312632124014,22.936,24.9,14.69428,No Information,No Information,549.4647077999999,569.0077799,550.9369001,9.666,100.0,100.0,100.0
22266,Kazakhstan,0.19,398.0,5064.0,506401.0,50640130.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,4.0,1.0,4.0,1.0,1.0,163.0,240.0,3.0,142.0,1.0,2.0,1.0,638.76862,613.48881,-2.3835660993161785,-2.7110395522918727,-1.3057409443139285,-1.6003684931141555,-2.2148863152751384,-1.3359162028927056,-1.4699936601422654,-1.7402330024730128,7.279609747997679,2.24006380095223,-1.900133417652056,1.3869694197074522,-0.073044599737328,1.7107762893875955,yes,yes,0.825,73.6,15.61293,11.8949,22857.46082,53.0,0.9802664241755156,1.0,0.8070648346015826,0.8233117188323472,77.669,69.23,15.7794,15.11553,10.85906734,11.92241205,16791.133203029807,29295.81277656416,10.0,29.75,22.07792208,99.29102,99.64934,62.675,75.529,99.85091,99.94014,99.45866,62.482119999999995,104.37133,113.22753,61.74976,0.83007,98.4866,2.75095,64.4315,19.97450654,-11.30445,8789.0,78.9039,77.8547,12.20377003202745,39.8,60.6,17.214570000000002,No Information,No Information,386.9092746,423.146133,397.1048352,23.154,100.0,90.0,No Information
52573,United Arab Emirates,0.079,784.0,5436.0,543605.0,54360521.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,187.0,315.0,3.0,152.0,1.0,2.0,1.0,593.5742700000002,536.0781,0.6597272834387606,0.8897585110428454,-0.3726547613404719,-1.7420766634590557,0.8966340409050967,-0.4043051249782271,-0.9638693062731012,-1.7402330024730128,-4.318143116524852,-3.6426115056787687,-1.1779830459665213,-2.880950449096084,-3.4893511608453824,-2.221242099080583,yes,yes,0.89,77.97,14.3441,12.11122,67462.0953,30.0,0.9306258727041724,3.0,0.8424034774782221,0.9052010073934464,79.314,77.291,14.81044081,14.11443511,11.6769,12.42786,28577.657802941496,84722.52253829598,3.0,6.546,50.0,76.02257,81.02851,52.39100000000001,93.389,99.11,99.64,78.91768,77.97610999999998,108.39706,104.94793,No Information,8.040989999999999,96.76002,No Information,160.9361,87.88936607,27.741740000000004,21286.0,98.45,98.8,12.883067300255648,25.278,13.8,24.52278,100.0,100.0,431.78176950000005,434.94725189999986,433.6368028,0.932,100.0,No Information,96.0
8693,Canada,0.08,124.0,5756.0,575601.0,57560118.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,180.0,300.0,3.0,55.0,2.0,1.0,2.0,517.5691400000002,436.57437,4.636707068620353,0.5755539110347204,4.179664186392047,2.1927668436305696,2.0843224971309127,1.7877967100793155,-0.3547279675640542,-0.1024044572353403,-3.465396169091372,-3.640208561008284,1.0739361286411848,0.0181006465050284,-0.10682583894096,-0.6717767916423836,yes,no,0.929,82.43,16.15789,13.36610479,48527.03573,14.0,0.9855929026542676,1.0,0.9215525045584152,0.935023478838588,84.391,80.447,16.66986,15.66355,13.41614,13.31281,39459.204895532974,57733.57500352735,10.0,8.387,33.18284424,100.0,100.0,60.83600000000001,69.422,No Information,No Information,100.0,No Information,100.94368,113.76286,68.92251,No Information,No Information,No Information,64.97671,21.27889391,9.87913,21134.0,91.0,No Information,14.273897077836873,26.101999999999997,25.2,No Information,No Information,No Information,520.0855209,512.0169429,517.9976609,10.691,100.0,99.0,82.0
32811,Portugal,0.075,620.0,5142.0,514206.0,51420602.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,2.0,3.0,182.0,360.0,3.0,15.0,1.0,2.0,1.0,538.71479,601.12739,0.3502749965422524,1.9647598065899368,-1.3057409443139285,-2.0440221580097737,-2.2148863152751384,-1.3359162028927056,-1.4699936601422654,-1.3825916546595138,-1.3708997323578884,1.6468899755179025,-2.2570569778172302,0.6985803824861158,-0.0376722481159733,-0.6717767916423836,yes,yes,0.8640000000000001,82.05,16.53579,9.26347,33966.827560000005,38.0,0.9883174104291926,1.0,0.8582876104996814,0.8684331586620094,84.853,79.032,16.47511,16.59802,9.36642,9.14325,28937.201157333253,39571.33834895912,8.0,8.38,38.69565217,53.86539000000001,54.81408,54.195,64.082,99.70156,99.62657,54.30303000000001,93.88086,106.18313,119.91319,63.93581,No Information,No Information,4.88294,87.64121,8.685172685,2.35039,16186.0,74.661,73.0328,14.082686423083048,51.24,34.5,12.35346,100.0,100.0,491.8007851,492.4874062,491.6773285,11.848,100.0,95.0,85.0
31241,Philippines,0.43,608.0,5071.0,507102.0,50710230.0,2.0,4.0,1.0,1.0,1.0,2.0,2.0,3.0,4.0,2.0,2.0,4.0,4.0,200.0,360.0,3.0,6.0,2.0,No Information,1.0,312.64837,260.2798,-2.3835660993161785,2.0306958980754213,-0.6073205871155022,-0.3568888597149501,3.2942835847279315,0.5939538952489517,-1.4699936601422654,-0.7644320730800656,1.1771407677520462,3.4917743326358317,-1.4825909287508217,-2.880950449096084,-3.4893511608453824,-3.0543298726723624,yes,no,0.718,71.23,13.14836,9.393091398,9777.798117,111.0,1.0069199775633195,1.0,0.7197416002012795,0.7147952332249947,75.505,67.263,13.499410000000001,12.816310000000001,9.5668,9.2162,7843.035175906852,11694.197932333278,121.0,54.153999999999996,28.04878049,75.59380536,72.38818412,46.1,73.258,99.26673,98.90415,73.22,80.69254000000001,107.50976999999999,86.16291,35.47546,7.14464,88.52068,No Information,68.6069,0.202124345,-0.23481,7168.0,60.0548,No Information,12.681717846273386,6.004,9.9,29.08352,No Information,No Information,339.6915905,352.5670677,356.9333242,32.699,92.5148,47.0,52.0
28630,North Macedonia,0.14300000000000002,807.0,5065.0,506505.0,50650513.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,2.0,1.0,180.0,240.0,3.0,20.0,2.0,1.0,2.0,515.98355,445.47479,-2.3835660993161785,-2.3999999549951703,-1.3057409443139285,-1.5552365603932192,-1.829337793470824,-0.9792828512443452,-0.8942799223295635,-0.3240101900797474,6.895423253060364,3.0242118145159305,0.1245067272417647,0.6985803824861158,-0.0582659010698357,0.8776885157958154,yes,no,0.774,75.8,13.5852,9.812715,15864.63074,82.0,0.9520718901753508,2.0,0.7528507162081073,0.7907498624599123,77.846,73.794,13.78974,13.391420000000002,9.408585467,10.23517865,11698.138832190134,20026.517663013867,7.0,15.723,39.16666667,41.82646897,57.68280295,42.986,67.346,98.5,98.76,49.925569,40.98351,97.12595,81.44688000000002,42.45998,2.64567,95.99262,No Information,137.2766,6.2960202239999985,-3.9548,707.0,79.1678,77.3705,12.091033040001175,28.736,42.8,14.91335,No Information,No Information,392.6677695,394.4468299,413.0446737,19.028,100.0,81.0,17.0
13726,Finland,0.047,246.0,5032.0,503203.0,50320306.0,2.0,2.0,3.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,3.0,2.0,3.0,190.0,204.0,3.0,24.0,2.0,2.0,1.0,515.53581,525.37455,1.1686448110825232,0.6590035437765517,-0.9492663808927572,5.218685958427698,3.1793089649735498,0.3089615783184942,1.3692438670203115,-1.1800742270722362,-1.7609089553759718,-2.9023973384099966,1.834070876344963,-0.7292534525268459,0.4924687633798831,-0.6717767916423836,yes,yes,0.938,81.91,19.39712,12.82413,48511.3978,11.0,0.9899190976379478,1.0,0.9324888493432364,0.9419849072194424,84.71799999999998,79.09100000000002,20.20295,18.62983,12.99106,12.64766,40758.7551517039,56485.02918287682,3.0,5.813,47.0,100.0,100.0,55.542,62.773,No Information,No Information,100.0,83.58174,100.15464,153.96358,88.19783000000002,0.19134,99.85605,6.89735,79.46667,6.925256627,4.48993,3224.0,88.89,87.6452,14.081805662474068,38.118,36.1,13.666879999999999,100.0,100.0,520.0787482,507.3013618,521.884563,9.585,100.0,100.0,99.0
47139,United Arab Emirates,0.079,784.0,5319.0,531904.0,53190413.0,1.0,3.0,3.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0,1.0,1.0,3.0,185.0,330.0,3.0,165.0,1.0,2.0,1.0,551.2635700000002,538.4418900000002,0.7878462016527518,0.5987798840438769,-1.3057409443139285,2.8931277479584616,-1.7947830459480918,-1.3359162028927056,0.7601025283112648,1.004920342283306,-4.076570965289061,-0.37395423609578704,-2.2570569778172302,0.0181006465050284,1.02260977487574,0.963157702651944,yes,yes,0.89,77.97,14.3441,12.11122,67462.0953,30.0,0.9306258727041724,3.0,0.8424034774782221,0.9052010073934464,79.314,77.291,14.81044081,14.11443511,11.6769,12.42786,28577.657802941496,84722.52253829598,3.0,6.546,50.0,76.02257,81.02851,52.39100000000001,93.389,99.11,99.64,78.91768,77.97610999999999,108.39706,104.94793,No Information,8.040989999999999,96.76002,No Information,160.9361,87.88936607,27.741740000000004,21286.0,98.45,98.8,12.883067300255648,25.278000000000002,13.8,24.522779999999997,100.0,100.0,431.78176950000005,434.9472518999999,433.6368028,0.932,100.0,No Information,96.0
