,Country,Gender Inequality Index,IDCNTRY,IDSCHOOL,IDCLASS,IDSTUD,sex of student,how often student speak the language of the test at home,amount of books at home,computer or tablet at home,study desk at home,own room at home,internet connection at home,highest level of education of 1st parent/guardian,highest level of education of 2nd parent/guardian,how far in education student is expected to go,how often student is absent from school,how often student is tired,how often student is hungry,work on your own math,economic disadvantage,immediate area of school location,instructional days per year,total instructional time minutes,instructional days in 1 calender week,total number computers,existing science laboratory,books with different titles,access to digital learning resources,minutes spent on math homework,extra math lessons in last 12 months,math,science,math_interest,math_perception,math_benefit,science_interest,science_perception,science_benefit,belong,bully,shortage,school_support,school_problem,teacher_support,parents_support,student_motivation,grade_4,grade_8,Human Development Index (HDI),Life expectancy at birth,Expected years of schooling,Mean years of schooling,Gross national income (GNI) per capita,HDI rank,Gender Development Index,GDI Group,HDI Female,HDI Male,Life expectancy at birth Female,Life expectancy at birth Male,Expected years of schooling Female,Expected years of schooling Male,Mean years of schooling Female,Mean years of schooling Male,Estimated  gross national income per capita,GNI Male,Maternal mortality ratio,Adolescent birth rate,Share of seats in parliament held by women,Share at least some secondary education Female,Share at least some secondary education Male,Labour force participation rate Female,Labour force participation rate Male,Youth literacy rate Female,Youth literacy rate Male,Population with at least some secondary education,Pre-primary,Primary,Secondary,Tertiary,Primary school dropout rate,Lower secondary retention,Government expenditure on education,Exports and imports,Stock of immigrants,International student mobility,International inbound tourists,Share of internet users,Share of female internet users,Lost health expectancy,"Physicians per 10,000 people","Hospital beds per 10,000 people","Pupil–teacher ratio, primary school",Primary schools with access to the Internet,Secondary schools with access to the Internet,PISA Reading,PISA Math,PISA Science,Share of vulnerable employment,Share of rural population with access to electricity,Share of population with safe drinking water,Share of population with sanitation services
45270,"United Arab Emirates, Abu Dhabi",0.079,7842.0,5239.0,523902.0,52390221.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,6.0,5.0,3.0,1.0,1.0,3.0,1.0,182.0,370.0,3.0,35.0,2.0,1.0,2.0,6.0,3.0,371.40461,356.44887,-0.8320110276842393,0.5943558563144568,-1.9580430782440017,-2.460339800778044,-1.907811478785289,-1.7602400285714122,-1.6718477771001965,0.3492609235193922,0.2488465249804349,-0.1660759920664111,2.132213272508811,1.3703248023215704,2.419691362949461,1.5936974254661742,yes,yes,0.89,77.97,14.3441,12.11122,67462.0953,30.0,0.9306258727041724,3.0,0.8424034774782221,0.9052010073934464,79.314,77.291,14.81044081,14.11443511,11.6769,12.42786,28577.657802941496,84722.52253829598,3.0,6.546,50.0,76.02257,81.02851,52.39100000000001,93.389,99.11,99.64,78.91768,77.97611,108.39706000000001,104.94793,No Information,8.04099,96.76002,No Information,160.9361,87.88936607,27.741740000000004,21286.0,98.45,98.8,12.883067300255648,25.278,13.8,24.522779999999997,100.0,100.0,431.78176950000005,434.9472518999999,433.6368028,0.932,100.0,No Information,96.0
21680,Malaysia,0.253,458.0,5142.0,514207.0,51420712.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,3.0,3.0,3.0,3.0,2.0,1.0,190.0,330.0,3.0,80.0,1.0,2.0,1.0,3.0,1.0,343.89273,382.67083,0.2404330286433476,0.5360249221346737,3.889635464982339,-1.099763662620438,0.0881166437633686,-2.4229872589977344,0.4807480005696219,0.8512684847924248,3.7605177054379664,1.762365053694941,1.1751452435500245,0.0483682771119306,0.3161639095960724,1.5936974254661742,no,yes,0.81,76.16,13.67864,10.37283,27534.098560000002,63.0,0.9717958908380916,2.0,0.7974923874389309,0.8206377439517278,78.317,74.234,14.03851,13.339789999999999,10.273430000000001,10.470289999999999,20824.622581911368,33877.30486654911,29.0,13.414000000000001,15.51724138,72.19998000000001,76.52552306,50.748000000000005,77.102,97.01853,96.69582,74.72540548,99.22442,105.2916,81.99226,45.12539,3.62044,92.18836,4.53477,123.09100000000001,10.73678855,3.00354,25832.0,81.2017,78.7267,12.514057947949164,15.357999999999999,18.8,11.6556,97.2,96.3,414.9795142,440.2075366,437.6180737,21.789,100.0,93.0,89.0
5896,Bahrain,0.212,48.0,5056.0,505604.0,50560420.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,8.0,8.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,180.0,350.0,3.0,41.0,1.0,1.0,1.0,1.0,1.0,399.47236,386.05505,-1.9374734117317207,-3.922052127491412,-2.6573282719046976,7.104583277616844,5.438016119439938,6.293326071637031,4.645254748634794,-0.8600117431488662,-0.4218323940630504,1.2894282268270805,-0.2604027451032641,-0.7901782051111399,0.2539904274513368,-0.642931416392467,yes,yes,0.852,77.29,16.254820000000002,9.5192,42521.70451,41.0,0.9217169324821972,4.0,0.8055118356177479,0.8739253964321699,78.423,76.436,16.6709,16.09411,9.08769,9.72027,19059.247863402637,55564.603111811884,14.0,13.368,18.75,68.06703,74.3448,44.96,87.17399999999998,99.30134,99.97614,72.34711999999998,53.66259,99.36305,98.59907,50.4819,2.7639,98.21914,2.32721,151.4049,45.16047069,-0.50331,12045.0,98.6434,98.5041,13.561317290508544,9.257,17.4,11.92315,100.0,100.0,No Information,No Information,No Information,1.081,100.0,99.0,96.0
26356,Norway,0.045,578.0,5050.0,505005.0,50500509.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,9.0,9.0,3.0,5.0,2.0,3.0,3.0,2.0,5.0,199.0,275.0,3.0,144.0,1.0,2.0,1.0,4.0,No Information,470.0229,490.92137,1.6122731487648394,1.9293132887069968,1.45417382698527,1.8247748749327544,1.819015634149816,1.5534718218165933,1.0144869428739722,0.1201228118910505,-4.261632585875486,1.3639210020982602,1.6332326242810329,-0.6845781299232149,-0.7210288178296517,0.1280790742365408,yes,yes,0.957,82.4,18.06615,12.89775,66494.25217,1.0,0.9899386579617452,1.0,0.9489563520145096,0.9586011662261812,84.37700000000002,80.447,18.75945,17.41359,12.977,12.81661,58548.43907513327,74279.89501600878,2.0,5.141,40.82840237,95.3928,94.8599762,60.37,67.192,No Information,No Information,94.92075574,95.36525,100.26021,116.87442,81.99235,0.8978,98.7565,7.9761,72.1465,16.13288846,-3.07912,5688.0,96.4917,97.0,14.555448508578761,29.164,35.3,8.59418,100.0,100.0,499.4509563,500.9637885,490.4131494,4.9060000000000015,100.0,98.0,76.0
20378,Malaysia,0.253,458.0,5086.0,508601.0,50860104.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,4.0,4.0,190.0,300.0,3.0,20.0,1.0,2.0,2.0,2.0,2.0,358.37024,401.08849,-0.0734602690017676,1.6169537136905223,-0.4067948175625772,-2.3950591533507506,1.6675206403531555,-1.2499143497222618,-1.5868152330754783,4.445953092579607,1.9397739182826177,-2.297424519477267,-1.5500929473138614,0.8070638754385987,2.419691362949461,0.894986267944918,no,yes,0.81,76.16,13.67864,10.37283,27534.09856,63.0,0.9717958908380916,2.0,0.7974923874389309,0.8206377439517278,78.317,74.234,14.03851,13.33979,10.27343,10.47029,20824.622581911368,33877.30486654911,29.0,13.414,15.51724138,72.19998000000002,76.52552306,50.74800000000001,77.102,97.01853,96.69582,74.72540548,99.22442,105.2916,81.99226,45.12539,3.62044,92.18836,4.53477,123.091,10.73678855,3.00354,25832.0,81.2017,78.7267,12.514057947949164,15.358,18.8,11.6556,97.2,96.3,414.9795142,440.2075366,437.61807369999997,21.789,100.0,93.0,89.0
28448,Qatar,0.185,634.0,5120.0,512007.0,51200735.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,8.0,8.0,5.0,5.0,2.0,3.0,2.0,1.0,4.0,200.0,300.0,3.0,35.0,1.0,1.0,1.0,5.0,3.0,489.77433,595.65163,1.2064550253948978,3.2442849991461964,-1.696303706236072,-0.9443101225171616,0.2617879574885883,-2.1022861943774407,-0.5364873179343925,-0.5207876065987533,-3.107083076713933,-2.297424519477267,1.6332326242810329,-2.765230253459522,-1.787363543757316,-1.4139419070214752,yes,yes,0.848,80.23,12.03595,9.73144,92418.23036,45.0,1.0296748037406314,2.0,0.8659822850362833,0.8410250322629229,82.01,79.142,14.09975,11.34201,11.28132,9.36681,45338.14106792162,107833.0288902143,9.0,9.922,9.756097561,76.09473255,66.24035425,56.81100000000001,94.73,96.11466,94.0699,68.15886188,60.26741,103.84244,No Information,17.86992,3.80578,96.63074,2.86383,86.54736,78.73005829,14.42274,1819.3,99.6528,99.79,13.133575184079962,24.852,12.5,12.1676,100.0,100.0,407.0917923,414.22871789999994,419.12715489999994,0.14400000000000002,100.0,96.0,96.0
34162,Turkey,0.306,792.0,5087.0,508707.0,50870712.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,4.0,6.0,5.0,3.0,1.0,1.0,2.0,3.0,3.0,280.0,360.0,1.0,21.0,2.0,2.0,1.0,5.0,2.0,425.1423400000001,555.63454,0.7137310328159929,3.8001420498272167,-1.4003506496748217,-2.7531361487355084,0.931984932502107,-2.4229872589977344,-0.6943220946764729,4.608641575279194,4.07315452190946,-0.1573421138260433,-0.0421306730846705,0.0483682771119306,-1.2541961807934838,-0.642931416392467,yes,yes,0.82,77.69,16.60266555,8.106819999999999,27700.89481,54.0,0.9239286215250176,4.0,0.7835054024993082,0.8480150784874163,80.563,74.72399999999999,16.01757436,17.06999044,7.27688,8.95451,17853.9719729508,37806.629200268835,17.0,26.559,17.44966443,50.15919,72.23768638,34.013000000000005,72.586,99.58643,99.90791,60.34626,32.73927,93.15498000000001,105.99226999999999,No Information,0.0848,94.64766,No Information,61.3945,7.044056238,0.8592700000000001,45768.0,71.0428,63.9338,13.498456691325645,18.492,28.5,16.97782,No Information,No Information,465.6316657,453.5077774,468.29961799999995,27.043000000000003,100.0,No Information,65.0
4953,Australia,0.09699999999999999,36.0,5260.0,526006.0,52600618.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,8.0,8.0,1.0,3.0,2.0,3.0,2.0,2.0,3.0,200.0,280.0,3.0,200.0,1.0,2.0,1.0,1.0,3.0,393.25906,432.2273,4.19097196634858,2.2165728228804142,-2.6573282719046976,6.141438116164931,2.8305669059952714,-2.754360874210896,0.4807480005696219,1.5256734884094258,-0.4572718481854221,-1.827145516440145,-0.4604809430846334,-2.0963692513886265,-0.2305865224898279,0.1280790742365408,yes,yes,0.944,83.44,21.95433,12.72469119,48084.84207,7.0,0.9762035605125556,1.0,0.931810956161772,0.9545252587201428,85.40299999999998,81.492,22.43083,21.48273,12.79604116,12.65123522,39286.574173284265,56953.61353311732,6.0,11.715,36.56387665,91.02507,90.94452,60.3,70.855,No Information,No Information,90.98537,164.55399,100.33898,150.31148000000005,113.14216,No Information,No Information,5.27163,45.68621,29.95361938,20.71761,9246.0,86.545,86.1214,15.186592894658599,36.778,38.4,No Information,100.0,100.0,502.6317243,491.36002520000005,502.96456280000007,10.634,100.0,No Information,76.0
30835,Singapore,0.065,702.0,5029.0,502951.0,50295108.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,6.0,4.0,5.0,5.0,2.0,2.0,2.0,3.0,1.0,186.0,360.0,3.0,240.0,1.0,2.0,1.0,4.0,1.0,604.5151599999998,625.20781,0.4097691613824994,0.8389113699331214,-0.3619057012670501,1.4427712037253249,0.9319710368195576,0.7583531980569251,2.189557038120068,-0.2305459986302896,-4.261632585875486,-2.297424519477267,-0.1011627317795506,-0.6845781299232149,-1.8418193021786424,0.8267902317577966,yes,yes,0.938,83.62,16.44088,11.62461,88155.21431,12.0,0.98523725750483,1.0,0.9308035314585692,0.9447506419071916,85.728,81.52600000000002,16.65767,16.28347,11.17682,12.1125,71387.27614451066,103421.3856924149,8.0,3.53,23.0,78.09105,85.05447,61.97,78.298,99.94237,99.91742,81.42356,No Information,100.62695,107.5746,84.79290999999999,0.85961,98.98744,2.85435,319.1484,37.13866028,10.5088,14673.0,88.1656,87.5644,12.22312632124014,22.936,24.9,14.69428,No Information,No Information,549.4647078,569.0077799,550.9369001,9.666,100.0,100.0,100.0
23423,Malaysia,0.253,458.0,5006.0,500617.0,50061707.0,2.0,3.0,2.0,1.0,2.0,1.0,1.0,8.0,8.0,3.0,4.0,3.0,2.0,2.0,3.0,2.0,190.0,310.0,3.0,40.0,1.0,2.0,1.0,2.0,2.0,369.42441,337.7224700000001,1.9425604379825645,0.1106008555448149,5.8575904120020095,3.3896290580803687,1.91954724137728,2.704931148341468,0.4807480005696219,2.1386125014439314,3.1389829026078364,1.283057208644,1.9538421168291684,0.0483682771119306,-1.787363543757316,0.1280790742365408,no,yes,0.81,76.16,13.67864,10.37283,27534.098560000002,63.0,0.9717958908380916,2.0,0.7974923874389309,0.8206377439517278,78.317,74.234,14.03851,13.339789999999999,10.273430000000001,10.470289999999999,20824.622581911368,33877.30486654911,29.0,13.414000000000001,15.51724138,72.19998000000001,76.52552306,50.748000000000005,77.102,97.01853,96.69582,74.72540548,99.22442,105.2916,81.99226,45.12539,3.62044,92.18836,4.53477,123.09100000000001,10.73678855,3.00354,25832.0,81.2017,78.7267,12.514057947949164,15.357999999999999,18.8,11.6556,97.2,96.3,414.9795142,440.2075366,437.6180737,21.789,100.0,93.0,89.0
